Team,Games,Wins,Losses,Pushes
Abilene Christian Wildcats,33,1,0,0
Air Force Falcons,32,16,9,1
Akron Zips,32,14,16,0
Alabama A&M Bulldogs,31,1,5,0
Alabama Crimson Tide,36,18,16,1
Alabama State Hornets,31,4,2,0
Alabama-Birmingham Blazers,33,13,14,0
Albany Great Danes,32,1,3,0
Alcorn State Braves,32,0,2,0
American Eagles,30,0,3,0
Appalachian State Mountaineers,34,14,14,2
Arizona State Sun Devils,32,13,16,3
Arizona Wildcats,35,13,20,1
Arkansas Razorbacks,35,17,17,1
Arkansas State Red Wolves,32,12,16,0
Arkansas-Little Rock Trojans,32,10,13,1
Arkansas-Pine Bluff Golden Lions,35,4,5,0
Army Black Knights,30,2,1,0
Auburn Tigers,34,19,13,0
Austin Peay State Governors,34,15,15,0
Ball State Cardinals,32,10,16,0
Baylor Bears,34,15,12,0
Belmont Bruins,33,17,12,2
Bethune Cookman Wildcats,32,0,2,0
Binghamton Bearcats,32,1,2,0
Boise State Broncos,32,14,16,1
Boston College Eagles,35,15,13,1
Boston University Terriers,30,1,3,0
Bowling Green State Falcons,31,14,11,0
Bradley Braves,33,15,14,2
Brigham Young Cougars,35,15,15,2
Brown Bears,27,9,10,0
Bryant University Bulldogs,31,0,3,0
Bucknell Bison,35,6,5,0
Buffalo Bulls,37,17,12,3
Butler Bulldogs,35,17,17,0
Cal Poly-Slo Mustangs,31,7,19,2
California Golden Bears,32,11,19,0
California State-Bakersfield Roadrunners,29,5,3,0
California State-Fullerton Titans,32,18,10,0
California State-Long Beach 49ers,33,14,17,0
California State-Northridge Matadors,29,10,16,1
California State-Sacramento Hornets,33,13,16,1
California-Davis Aggies,33,17,11,2
California-Irvine Anteaters,35,15,15,2
California-Riverside Highlanders,31,14,12,0
California-Santa Barbara Gauchos,32,19,10,0
Campbell Fighting Camels,34,2,3,0
Canisius Golden Griffins,33,20,10,1
Central Arkansas Bears,35,4,2,0
Central Connecticut State Blue Devils,32,0,3,0
Central Florida Knights,32,16,11,0
Central Michigan Chippewas,35,18,10,1
Charleston Southern Buccaneers,31,2,2,0
Chicago State Cougars,32,2,2,0
Cincinnati Bearcats,36,17,15,1
Citadel Bulldogs,32,12,12,1
Clemson Tigers,35,19,12,0
Cleveland State Vikings,35,17,14,1
Coastal Carolina Chanticleers,32,11,14,1
Colgate Red Raiders,33,6,2,0
College of Charleston Cougars,34,16,15,0
Colorado Buffaloes,32,14,17,1
Colorado State Rams,32,9,17,2
Columbia Lions,26,7,11,1
Connecticut Huskies,32,10,19,0
